"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source"
"Van Ryzin M.J.; Low S.; Roseth C.J.; Espelage D.","Van Ryzin, Mark J. (16026032900); Low, Sabina (7102636078); Roseth, Cary J. (13402937900); Espelage, Dorothy (6701476605)","16026032900; 7102636078; 13402937900; 6701476605","A Longitudinal Process Model Evaluating the Effects of Cooperative Learning on Victimization, Stress, Mental Health, and Academic Engagement in Middle School","2024","International Journal of Bullying Prevention","6","1","","41","52","11","3","10.1007/s42380-022-00140-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135334647&doi=10.1007%2fs42380-022-00140-y&partnerID=40&md5=d14c510fef7cf0935ea867b59a26a4ee","Mental health is a significant concern among young people, particularly during the COVID-19 pandemic. Notably, mental health problems can significantly reduce student performance in school, including both engagement and achievement. Both mental health problems and reduced student performance often arise due to peer victimization, which can include teasing, racial- or gender-based discrimination, and/or physical assault. Stress has been proposed as one mechanism through which victimization influences mental health, and stress can also interfere with academic performance at school, including engagement and achievement. To date, however, no research has evaluated longitudinal associations between victimization and stress, and how these longitudinal patterns may impact adolescent behavior and mental health. In this study, we used data from a 2-year cluster randomized trial of cooperative learning to evaluate an etiological process model that includes (1) longitudinal reciprocal effects between victimization and stress, and (2) the effects of both victimization and stress on student mental health and academic engagement. We hypothesized that victimization and stress would have significant reciprocal effects, and that both would predict greater mental health problems and lower academic engagement. We further hypothesized that cooperative learning would have significant effects on all constructs. We found partial support for this model, whereby stress predicted greater victimization, but victimization did not predict increased stress. While both factors were linked to student outcomes, stress was a more powerful predictor. We also found significant salutary effects of cooperative learning on all constructs. The implications of these results for student behavioral and mental health are discussed. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2022. Springer Nature or its licensor holds exclusive rights to this article under a publishing agreement with the author(s) or other rightsholder(s); author self-archiving of the accepted manuscript version of this article is solely governed by the terms of such publishing agreement and applicable law.","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus"
"Singh A.; Singh K.; Kumar A.; Shrivastava A.; Kumar S.","Singh, Ashutosh (57219386987); Singh, Khushdeep (59174106900); Kumar, Amit (59010647500); Shrivastava, Abhishek (57194104663); Kumar, Santosh (58595261300)","57219386987; 59174106900; 59010647500; 57194104663; 58595261300","Machine Learning Algorithms for Detecting Mental Stress in College Students","2024","2024 IEEE 9th International Conference for Convergence in Technology, I2CT 2024","","","","","","","0","10.1109/I2CT61223.2024.10544243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196807950&doi=10.1109%2fI2CT61223.2024.10544243&partnerID=40&md5=15e0f45f5afe5ca71c60dae27755dcbe","In today's world, stress is a big problem that affects people's health and happiness. More and more people are feeling stressed out, which can lead to lots of health issues like breathing problems, feeling overwhelmed, heart attack, diabetes, etc. This work endeavors to forecast stress and non-stress occurrences among college students by applying various machine learning algorithms: Decision Trees, Random Forest, Support Vector Machines, AdaBoost, Naive Bayes, Logistic Regression, and K-nearest Neighbors. The primary objective of this work is to leverage a research study to predict and mitigate stress and non-stress based on the collected questionnaire dataset. We conducted a workshop with the primary goal of studying the stress levels found among the students. This workshop was attended by Approximately 843 students aged between 18 to 21 years old. A questionnaire was given to the students validated under the guidance of the experts from the All India Institute of Medical Sciences (AIIMS) Raipur, Chhattisgarh, India, on which our dataset is based. The survey consists of 28 questions, aiming to comprehensively understand the multidimensional aspects of stress, including emotional well-being, physical health, academic performance, relationships, and leisure. This work finds that Support Vector Machines have a maximum accuracy for Stress, reaching 95%. The study contributes to a deeper understanding of stress determinants. It aims to improve college student's overall quality of life and academic success, addressing the multifaceted nature of stress. © 2024 IEEE.","Conference paper","Final","","Scopus"
"Stirparo G.; Pireddu R.; D’Angelo M.; Bottignole D.; Mazzoli R.; Gambolò L.","Stirparo, Giuseppe (57216470843); Pireddu, Roberta (58148473200); D’Angelo, Marta (59210498300); Bottignole, Dario (58777682400); Mazzoli, Riccardo (59196867300); Gambolò, Luca (57475514600)","57216470843; 58148473200; 59210498300; 58777682400; 59196867300; 57475514600","Is Mental Health Worse in Medical Students than in the General Population? A Cross-Sectional Study","2024","Medicina (Lithuania)","60","6","863","","","","0","10.3390/medicina60060863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197203760&doi=10.3390%2fmedicina60060863&partnerID=40&md5=01fc5d41a5f9d6e8638b33d338ea64be","Background and Objectives: In recent years, there has been a notable increase in university students experiencing severe mental illness. The transition to university life can be demanding, leading to mental health disorders. Persistent stress and anxiety can cause demotivation, difficulties with concentration, cognitive impairment, and reduced academic performance. Mental health issues can also impact social relationships and overall well-being. This cross-sectional study aims to investigate the mental health of medical students and compare it with the mental health of the non-student population. Materials and Methods: The survey collected demographic information such as age and gender. Participants were questioned about their self-perceived mental distress, diagnosed mental disorders, and history of therapy for mental distress. Various validated assessment tools were utilized to assess mental health and quality of life. Results: Medical students exhibit a higher self-perception of mental symptoms that does not translate into a significantly higher prevalence of diagnosed mental disorders. Medical students experience higher levels of anxiety and subclinical depressive symptoms and lower quality of life. Female participants reported lower QoL scores and higher levels of anxiety symptoms compared with male participants. While the prevalence of mental disorders did not differ significantly between genders (except for clinical anxiety), females tended to perceive a higher burden of mental health challenges. Conclusions: By addressing mental health issues among medical students, especially females, institutions can create a more supportive and conducive learning environment. Encouraging open conversations about mental health and providing accessible mental health services can help in destigmatizing mental health challenges and promoting early intervention when needed. © 2024 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus"
"","","","8th International Conference on Smart Trends in Computing and Communications, SmartCom 2024","2024","Lecture Notes in Networks and Systems","946","","","","","516","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195469365&partnerID=40&md5=ab3d06b8ef5e4458d6097730d1619ac5","The proceedings contain 41 papers. The special focus in this conference is on Smart Trends in Computing and Communications. The topics include: Artificial Neural Network-Based Forecasting to Anticipate the Indian Stock Market; a Framework for Real-Time Crowd Behaviour Monitoring System Based on Human Activity Recognition in Surveillance Videos; STM32-Based Home Automation and Energy Monitoring System with TFT Display; smart Rover for Farm Pesticide Spraying; emergency Alert and Adaptive Traffic Signal System Using Machine Learning; design of a Chatbot for Relieving Academic Stress in Adolescent Students; mental Health Predictive Analysis Using Machine-Learning Techniques; crime Prediction and Prevention Using Design Intervention and Artificial Intelligence; Enhancing Dysarthria Detection: Harnessing Ensemble Models and MFCC; a Deep Learning Approach for Evaluating Children's Handwriting; detection of Online Fake Review Using Deep Learning; deep Learning-Based Object Detection, Face Recognition, and Tracking Support Model for Visually Challenged; wi-Fi Inter-Network Simulation and Performance Analysis Using QualNet; Location-Based QR Attendance Application; Optimizing Endurance in Fixed Wing UAVs; storyWood—Story and Post Maker Application; a Survey on Imparting Education Using Augmented Reality; secure Access Firearm; facial Expression Recognition Using Convolutional Neural Network; attitude Control of Satellites with Reaction Wheels and Its Formation Keeping; crowd Density Estimation for Video Surveillance Using Deep Learning: A Review; a Synergistic Integration of IoT, Machine Learning, and Flutter Technology for Precise Crop Management; a Review on Suspicious Behavior Detection at Heritage Sites Using Quantum Enhanced Deep Learning; Integrating Conversational AI and Machine Learning in Education; player Performance Analysis; a Collaborative Coding Platform for Both College Students and Teachers.","Conference review","Final","","Scopus"
"Lin J.; Guo W.","Lin, Jiayu (59004433000); Guo, Wuyuan (57206662542)","59004433000; 57206662542","The Research on Risk Factors for Adolescents’ Mental Health","2024","Behavioral Sciences","14","4","263","","","","0","10.3390/bs14040263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191452953&doi=10.3390%2fbs14040263&partnerID=40&md5=ccaa15da6345ddc736385538395b8ef2","There is a growing tendency for mental health disorders to emerge during adolescence. These disorders impair emotional, cognitive, and behavioral functioning, such as unsatisfying peer relationships, disruptive behavior, and decreased academic performance. They also contribute to vulnerability in later adulthood which negatively influences life-long well-being. Thus, research into etiology is imperative to provide implications for prevention and intervention within family and school practices. It is suggested that the onset of psychological disorders, such as depression and anxiety, is closely related to stress levels and patterns of stress reaction. Therefore, considerable research has investigated the link between hereditary factors, economic status, dispositional vulnerability, social relationships, and stress levels. The current study examines existing evidence and identifies multifaceted risk factors for adolescents’ mental problems across three layers, including individual traits and personality, family status and practices, as well as peer relationships, and school climate. It is also suggested that factors from these three perspectives interact and are closely interconnected, directly or indirectly contributing to adolescent psychopathology. The implications for future development of prevention and intervention programs, as well as therapy, are discussed. © 2024 by the authors.","Review","Final","All Open Access; Gold Open Access","Scopus"
"Siddhanta S.; Bandyopadhyay D.; Bhowmick S.","Siddhanta, Shilpi (58974558500); Bandyopadhyay, Debasish (58975003300); Bhowmick, Subhrojyoti (57213556859)","58974558500; 58975003300; 57213556859","Adolescent Health and Screen Time during a Period of Compulsory Online Education: A Cross Sectional Study from Eastern India","2024","Journal of the Indian Medical Association","122","3","","43","49","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189704156&partnerID=40&md5=bab50ed3625637f425a3d99aedcdd446","COVID pandemic had an impact on both physical and mental health of the adolescents. To slow down spread of pandemic, measures like social distancing, online education, lockdowns, etc were taken. Adolescents and young adults had decreased communication with peers and extended families. Their screen time including videogaming also increased due to virtual learning. This study was undertaken to assess and compare the screen-time, mental health, physical activities, sleep etc of adolescents when physical schools are closed for long durations among different age groups of adolescents and between males and females. This study was conducted on 78 adolescents aged 10-17 years who were attending the Paediatric Outpatient Department of a Government Hospital. It was conducted over 3 months during a period of compulsory online classes. However, there was no lockdown during this period. It was found that boys had increased physical activity duration in comparison to pre pandemic times (P-value 0.03509). The duration of playing videogames had significantly increased too for boys. Adolescents more than 13 years ie, in mid adolescence had higher screen time and more incidence of mood disturbances, depression or anxiety than the younger ones. However, there was no significant increase of stress factors due to their stay at home, or online education. Screen time and stress were significant factors for developing psychological changes among students. Most adolescents knew that watching screen excessively is bad though few tried to decrease screen-time. Duration of physical activity among students was not a significant factor for obesity or being overweight among students although, increase in sleeping time was significant factor. Most students’ academic performance remained same or became better as reported by themselves. Most Adolescents have knowledge but need guidance and constant support for inculcating health promoting activities and habits like pursuing hobbies, exercise during periods of deviation from routine life. © 2024 Evangel Publishing. All rights reserved.","Article","Final","","Scopus"
"Rivera Gómez A.K.; Perafán Collazos J.F.; Prieto J.L.; Pinzón P.V.; Ávila González G.I.; Nino Castaño V.E.; Dueñas Cuellar R.A.","Rivera Gómez, Angie Katherine (58784476900); Perafán Collazos, Jeyson Fernando (58785172100); Prieto, Jerónimo Londoño (58785172200); Pinzón, Paola Vernaza (58784999800); Ávila González, Gloria Inés (58785519800); Nino Castaño, Victoria Eugenia (55546444900); Dueñas Cuellar, Rosa Amalia (56584451800)","58784476900; 58785172100; 58785172200; 58784999800; 58785519800; 55546444900; 56584451800","Prolonged chronic academic stress and its relationship with cytokine dysregulation in health science students","2024","Stress and Health","40","3","e3363","","","","0","10.1002/smi.3363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180849081&doi=10.1002%2fsmi.3363&partnerID=40&md5=a0361e8034d34b8d84c4a78a1bb72aa3","Academic stress is a problem that affects students due to a number of factors that are considered stressors. These include academic overload and completion of assignments and exams, exacerbated by such external conditions as family, social and economic problems. Together, these can affect emotional and physical health, which may lead in the long term to developing a number of pathologies, given the alteration of immunological homoeostasis with which they are related. Objective: To evaluate the effect of academic stress on the production of cytokines IL-6, TNF-α, IL-1β and IL-10 in Morphology students in the Faculty of Health Sciences of the Universidad del Cauca during an academic period. Methodology: A descriptive longitudinal study was carried out with a population of 78 students studying Morphology, among the subjects with the highest academic load in the Physiotherapy, Medicine, Nursing and Phonoaudiology programs in the Faculty. Academic stress was assessed in the students by applying the Academic Stress Questionnaire (ASQ), and through quantification of the IL-6, TNF-α, IL-1β and IL-10 cytokines using the ELISA (Enzyme-linked immunosorbent assay) technique in three “moments” of the academic semester: Moment 1: beginning of the academic semester; Moment 2: week of evaluations of 70% of the semester; Moment 3: week of final exams. Results: The students perceived stress as “normal” at Moment 1, while at Moments 2 and 3 it was perceived as ""quite a lot"", with percentages of 48.7% and 50%, respectively. The predominant stressors were: “methodological deficiencies”, “academic overload”, and “exams”, for the three moments of the study. “Physical exhaustion” was the most prevalent stress response at all three moments, followed by “irascible behaviour” (Moment 2 and 3), and “sleep disturbances” (Moment 3). To cope with the stress, the students resorted mainly to ""planning and management of personal resources"" in the three moments of the study. A progressive increase in the pro-inflammatory cytokines IL-6 and TNF-α and a decrease in IL-10 were observed at all three moments. A correlation was found between some questions belonging to the ""methodological deficiencies"", ""beliefs about performance"", ""sleep disturbances"", ""physical exhaustion"" and ""irascible behaviour"" dimensions with IL-6, IL-1β, TNF-α and IL. −10. Conclusion: The morphology students suffer increased stress indicators (perceived stress and pro-inflammatory cytokines) throughout the academic period. The “methodological deficiencies”, “academic overload” and “exams” stressors, together with “physical exhaustion”, “sleep disturbances” and “irascible behaviour”, possibly influence the production of the IL-6, TNF-α and IL-10 cytokines. © 2023 John Wiley & Sons Ltd.","Article","Final","","Scopus"
"Gebremariam S.A.; Gebey M.Y.; Yadita Z.S.; Bekele Y.A.","Gebremariam, Seble Asheber (59236145800); Gebey, Mulugeta Yaze (59237084700); Yadita, Zemenu Shiferaw (57201901927); Bekele, Yibeltal Alemu (57214868211)","59236145800; 59237084700; 57201901927; 57214868211","Magnitude and associated factors of sexual violence among female housemaids attending night school in Bahir Dar City, Northwest Ethiopia: Institution-Based Cross-Sectional Study, 2022","2024","PLoS ONE","19","7 July","e0307308","","","","0","10.1371/journal.pone.0307308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199804960&doi=10.1371%2fjournal.pone.0307308&partnerID=40&md5=000f996008f3a2086d91c8702bbe6c11","Background Sexual violence is a major public health problem that affects the health and well-being of millions of young people. Housemaids are the most vulnerable group to sexual violence due to their nature of work. It leads to various physical, mental, sexual, and reproductive health problems, especially in our country's context. However, they have limited information regarding the magnitude and the factors associated with sexual violence among housemaids. As a result, the purpose of this study was to determine the magnitude and risk factors for sexual violence among female housemaids attending night school in Bahir Dar, Northwest Ethiopia, in 2022. Method An institution-based cross-sectional study design was conducted among 340 housemaids attending night school in Bahir Dar city from May 15 to June 20, 2022. Participants were selected using simple random sampling through computer-generated techniques. An interviewer- administered, structured questionnaire was used. Data were entered, coded, and cleaned using EPI Data version 4.6.0.2, and exported to SPSS version 26 for further analysis. Both bivariable and multivariable logistic regression were done to identify factors associated with sexual violence. P-value and 95% confidence interval were used to declare the statistical association. Result The magnitude of sexual violence after being a housemaid was 30.3% with a 95% confidence interval (25.3-35.38). Ever had sex [Adjusted Odds Ratio(AOR) = 4.67; 95%; Confidence Interval(CI) (2.60, 8.39)], no discussion of sexual and reproductive issues [Adjusted Odds Ratio(AOR) = 2.32; 95%; Confidence Interval(CI) (1.29, 4.16)], poor social support [Adjusted Odds Ratio(AOR) = 2.69; 95%; Confidence Interval(CI) (1.32, 5.52)], were identified as factors associated with sexual violence among housemaids. Similarly, academic performance [Adjusted Odds Ratio (AOR) = 0.96; 95%; Confidence Interval (CI) (0.93, 0.99)], and distance to reach school [Adjusted Odds Ratio (AOR) = 2.04; 95%; Confidence Interval (CI) (1.19, 3.48)] were identified as factors associated with sexual violence among housemaids. Conclusion This study identified that the magnitude of sexual violence among housemaids was high. Housemaids who ever had sex, no discussion of sexual and reproductive health (SRH) with anyone, poor social support, poor academic performance, and distance to reach school were factors associated with sexual violence. Therefore, creating a sexual and reproductive health (SRH) discussion session for housemaids is important for securing their sexual rights.  © 2024 Gebremariam et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Garces Garces N.N.; Esteves Fajardo Z.I.; Santander Villao M.L.; Mejia Caguana D.R.; Quito Esteves A.C.","Garces Garces, Norma Narcisa (57694394600); Esteves Fajardo, Zila Isabel (57219515236); Santander Villao, María Leonor (59225025700); Mejia Caguana, Digna Rocio (59224283800); Quito Esteves, Arlette Camila (59225178300)","57694394600; 57219515236; 59225025700; 59224283800; 59225178300","Relationships between Mental Well-being and Academic Performance in University Students: A Systematic Review; [Relaciones entre el Bienestar Mental y el Rendimiento Académico en Estudiantes Universitarios: Una Revisión Sistemática]","2024","Salud, Ciencia y Tecnologia - Serie de Conferencias","3","","972","","","","0","10.56294/sctconf2024972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198945861&doi=10.56294%2fsctconf2024972&partnerID=40&md5=c28e94b2d737ca8500b59c2345356b92","This article presents a systematic review on the relationships between mental well-being and academic performance in university students. The primary aim is to elucidate how different mental health states can influence academic achievement and vice versa. Through the review of existing literature, it was identified that an optimal mental health state fosters skills such as concentration, stress management, and adaptability, all essential for good academic performance. Conversely, stressful academic environments can contribute to mental health issues, highlighting the responsibility of educational institutions in providing an environment conducive to the holistic well-being of their students. The importance of training and raising awareness among academic and administrative staff for early detection and appropriate response to mental health issues was emphasized. Multifaceted interventions that address both mental well-being and academic performance were found to be particularly effective. In conclusion, this study underscores the need to adopt a holistic approach in higher education. © 2024; Los autores.","Review","Final","","Scopus"
"Nguyen-Thi T.-T.; Le H.M.; Chau T.L.; Le H.T.; Pham T.T.; Tran N.T.; Ngo Q.P.M.; Pham N.H.; Nguyen D.T.","Nguyen-Thi, Thanh-Thao (58454286200); Le, Huu Minh (57203391283); Chau, Trinh Lieu (58998486400); Le, Hieu Trung (58516219000); Pham, Tin Trung (58250835700); Tran, Nguyet Tu (58644170400); Ngo, Quyen Phan Minh (58998564900); Pham, Nhan Hong (58998565000); Nguyen, Dat Tan (55915869000)","58454286200; 57203391283; 58998486400; 58516219000; 58250835700; 58644170400; 58998564900; 58998565000; 55915869000","Prevalence of stress and related factors among healthcare students: a cross – sectional study in Can Tho City, Vietnam","2024","Annali di Igiene Medicina Preventiva e di Comunita","36","3","","292","301","9","1","10.7416/ai.2023.2591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191102040&doi=10.7416%2fai.2023.2591&partnerID=40&md5=cb00491c7dfb6788e22d81531ffb7cdf","Background. Stress is a major public health issue that can impact both physical and mental well-being. It is prevalent in many areas of modern life, including education. Healthcare students are at a high risk of experiencing stress due to the unique demands of their fields of study. Study design and methods. An online survey was conducted on 2,515 undergraduate students pursuing degrees in medicine, preventive medicine, pharmacy, and nursing at Can Tho University of Medicine and Pharmacy in Can Tho City, Vietnam. Results. Using the Perceived Stress Scale-10 (PSS-10), it was found that 35.2% of students reported mild stress, 62.7% had moderate stress, and only 2.1% experienced severe stress. Multivariable logistic regression analysis revealed nine significant factors associated with students’ stress levels (p ≤ 0.05). Particularly, medicine students exhibited a significantly higher level of moderate and severe stress (95% CI = 1.22-2.01), 1.57 times higher than preventive medicine students. Sixth-year students had a stress level 1.58 times higher (95% CI = 1.11-2.26) than first-year students. Students achieving excellent and very good academic performances in the last semester had a stress level 1.60 times higher (95% CI = 1.16-2.22) than students with average and lower academic performance. Students living at home had a stress level 1.73 times higher (95% CI = 1.05-2.84) than students living in their relatives’ houses. Students who rarely or never had a part-time job during academic years had a stress level 1.70 times higher (95% CI = 1.31-2.20) than those who often or sometimes had a part-time job. Students with a family history of smoking addiction had a stress level 1.69 times higher (95% CI = 1.28-2.22) than students without such a family history. Students who rarely or never received concern and sharing from family had a stress level 7.41 times higher (95% CI = 5.07-10.84) than students who often or sometimes received concern and sharing from family. Students who were often or sometimes cursed by family had a stress level 2.04 times higher (95% CI = 1.09-3.81) than students who were rarely or never cursed by family. Students without close friends had a stress level 1.46 times higher (95% CI = 1.11-1.91) than students with close friends. Conclusions. The rates of mild and moderate stress levels were significantly higher than severe stress level among healthcare students. Research has provided scientific findings as the basis for determining risk factors and imposing solutions that aim to reduce the rate of stress in students. Therefore, it helps students overcome difficulties and enhance their physical and mental health. © (2024) Società Editrice Universo (SEU), Roma, Italy","Article","Final","","Scopus"
